name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Antofagasta Chile,2015-01-01,22,16,18.5,22,16,18.5,13.3,72.6,0,0,0,,,,,27.7,189.6,1011.7,33.3,11.3,387.2,33.3,10,,2015-01-01T06:58:14,2015-01-01T20:31:53,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85442099999,SCFA"
Antofagasta Chile,2015-01-02,22.9,16,18.9,22.9,16,18.9,13.5,72,0,0,0,,,,,22.3,175.4,1012.2,50.5,11.7,369.6,31.9,10,,2015-01-02T06:58:53,2015-01-02T20:32:10,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85442099999,SCFA"
Antofagasta Chile,2015-01-03,21.2,17.2,19.3,21.2,17.2,19.3,12.7,66.3,0,0,0,,,,,24.1,187.9,1012.5,65.2,11,361.2,31.2,10,,2015-01-03T06:59:33,2015-01-03T20:32:25,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85442099999,SCFA"
Antofagasta Chile,2015-01-04,21,16,18.7,21,16,18.7,13.4,72.1,0,0,0,,,,,25.9,189.4,1012.4,80.7,12.1,312.5,26.9,10,,2015-01-04T07:00:13,2015-01-04T20:32:39,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85442099999,SCFA"
Antofagasta Chile,2015-01-05,21,18,19.1,21,18,19.1,14.1,73.2,0,0,0,,,,,24.1,195.8,1012.5,82.8,10.4,237.9,20.6,9,,2015-01-05T07:00:54,2015-01-05T20:32:52,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85442099999,SCFA"
Antofagasta Chile,2015-01-06,21,18,19.4,21,18,19.4,14.2,72.1,0,0,0,,,,,25.9,195,1012.2,76.8,11.4,348.2,30.2,10,,2015-01-06T07:01:35,2015-01-06T20:33:03,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85442099999,SCFA"
Antofagasta Chile,2015-01-07,21,18,19.2,21,18,19.2,12.9,67.2,0,0,0,,,,,29.5,192.9,1011.3,77.5,11,357.5,31,10,,2015-01-07T07:02:17,2015-01-07T20:33:13,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85442099999,SCFA"
Antofagasta Chile,2015-01-08,21.2,17,19,21.2,17,19,13.2,69.6,0,0,0,,,,,27.7,183.7,1010.5,57.9,12.2,370.7,31.9,10,,2015-01-08T07:02:59,2015-01-08T20:33:21,0.55,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"85442099999,remote,SCFA"
Antofagasta Chile,2015-01-09,22,18,19.6,22,18,19.6,13.7,69.6,0,0,0,,,,,29.5,226.3,1012.5,73,11.2,371.6,32,10,,2015-01-09T07:03:41,2015-01-09T20:33:28,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85442099999,SCFA"
Antofagasta Chile,2015-01-10,21,17.9,19,21,17.9,19,12.9,67.7,0,0,0,,,,,25.9,205.6,1013.5,68.3,11.8,337.4,29,10,,2015-01-10T07:04:24,2015-01-10T20:33:34,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85442099999,SCFA"
