name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994
TotalAssets,"8,496,297,000","7,044,297,000","6,813,338,000","6,017,237,000","4,883,562,000","4,818,463,000","4,805,616,000","4,742,403,000","5,033,604,000","4,684,151,000","4,696,845,000","4,716,013,000","4,367,575,000","4,268,094,000","4,124,423,000","4,301,414,000","4,323,611,000","4,296,236,000","4,144,828,000","4,127,738,000","4,249,500,000","4,218,644,000","4,361,667,000","4,239,246,000","4,688,945,000","4,643,762,000","4,799,849,000","4,767,965,000","4,738,551,000","4,663,655,000","4,524,455,000","4,687,957,000","4,639,000,000","4,767,608,000","4,975,264,000","4,794,703,000","4,560,500,000","4,416,431,000","4,498,637,000","4,260,400,000","4,089,006,000","3,871,583,000","3,844,605,000","3,594,486,000","3,484,257,000","3,372,836,000","3,388,327,000","3,128,020,000","3,017,143,000","3,203,134,000","3,087,286,000","2,958,500,000","2,948,800,000","2,567,215,000","2,445,115,000","2,251,655,000","2,165,005,000","1,986,319,000","1,971,885,000","1,871,600,000","1,896,190,000","1,871,202,000","1,835,208,000","1,920,074,000","1,779,524,000","1,640,568,000","1,521,908,000","1,455,751,000","1,463,478,000","1,361,372,000","1,363,400,000","1,360,600,000","1,391,000,000","1,363,476,000","1,362,100,000","1,336,600,000","1,333,200,000","1,322,294,000","1,296,800,000","1,364,900,000","1,390,400,000","1,413,428,000","1,453,700,000","1,415,792,000","1,426,095,000","1,409,500,000","1,209,400,000","1,184,200,000","924,500,000","680,100,000"
	CurrentAssets,"5,898,902,000","4,586,095,000","4,476,574,000","3,759,936,000","2,637,252,000","2,569,258,000","2,749,722,000","2,721,225,000","3,020,772,000","2,682,166,000","2,715,471,000","2,767,727,000","2,447,666,000","2,399,596,000","2,321,910,000","2,520,410,000","2,478,295,000","2,466,261,000","2,349,476,000","2,319,806,000","2,400,000,000","2,335,066,000","2,494,058,000","2,324,715,000","2,752,934,000","2,696,845,000","2,827,429,000","2,706,540,000","2,634,236,000","2,511,818,000","2,334,555,000","2,460,251,000","2,368,000,000","2,455,049,000","2,666,028,000","2,533,999,000","2,347,300,000","2,246,734,000","2,411,891,000","2,235,200,000","2,133,045,000","1,956,413,000","1,980,626,000","1,772,628,000","1,755,615,000","1,695,263,000","1,855,928,000","1,651,518,000","1,568,205,000","1,745,131,000","1,712,258,000","1,660,800,000","1,685,200,000","1,339,414,000","1,290,406,000","1,139,745,000","1,058,564,000","903,954,000","904,241,000","819,771,000","858,244,000","845,875,000","815,772,000","906,893,000","787,466,000","742,783,000","662,727,000","642,563,000","675,710,000","575,450,000","614,000,000","551,900,000","574,600,000","534,470,000","529,500,000","500,300,000","506,900,000","486,555,000","458,400,000","514,800,000","527,300,000","542,237,000","589,400,000","512,052,000","528,256,000","511,100,000","459,900,000","599,900,000","507,300,000","375,300,000"
		CashCashEquivalentsAndShortTermInvestments,"3,294,054,000","2,420,221,000","2,611,175,000","1,945,732,000","834,813,000","854,561,000","1,050,355,000","1,071,103,000","1,348,335,000","1,074,219,000","1,146,316,000","1,214,994,000","888,720,000","847,856,000","738,328,000","926,808,000","986,541,000","991,379,000","899,335,000","843,462,000","865,700,000","798,829,000","954,610,000","804,412,000","1,205,383,000","1,144,526,000","1,257,835,000","1,187,962,000","1,111,291,000","1,008,008,000","802,822,000","993,917,000","802,700,000","908,505,000","1,035,669,000","880,130,000","647,300,000","568,514,000","879,704,000","791,000,000","655,930,000","614,253,000","654,509,000","601,913,000","618,209,000","600,830,000","693,502,000","546,458,000","447,515,000","545,437,000","485,128,000","468,800,000","569,200,000","323,920,000","156,840,000","90,399,000","166,386,000","164,212,000","87,809,000","117,151,000","136,307,000","183,943,000","78,635,000","86,085,000","128,783,000","145,576,000","74,453,000","67,915,000","158,417,000","66,753,000","115,400,000","82,000,000","105,700,000","67,083,000","78,500,000","78,300,000","87,400,000","64,047,000","39,500,000","105,200,000","115,800,000","135,686,000","154,100,000","47,615,000","44,848,000","60,700,000","72,500,000","152,800,000","125,500,000","71,600,000"
			CashAndCashEquivalents,"2,268,547,000","1,515,051,000","1,865,043,000","1,242,853,000","537,538,000","509,102,000","637,541,000","581,631,000","727,599,000","588,530,000","787,619,000","799,790,000","602,771,000","556,066,000","428,024,000","528,022,000","575,089,000","630,438,000","520,561,000","517,625,000","511,800,000","514,669,000","572,408,000","582,991,000","526,687,000","527,259,000","482,476,000","472,948,000","473,817,000","354,566,000","295,255,000","545,374,000","419,500,000","476,622,000","444,593,000","377,187,000","228,700,000","324,353,000","364,252,000","415,300,000","449,152,000","444,992,000","447,406,000","474,911,000","563,815,000","524,652,000","615,847,000","386,933,000","359,256,000","545,437,000","292,813,000","468,800,000","569,200,000","158,231,000","22,360,000","29,381,000","25,752,000","164,212,000","13,076,000","16,043,000","18,078,000","183,943,000","16,731,000","27,152,000","19,457,000","13,273,000","16,996,000","13,894,000","20,917,000","66,753,000","115,400,000","82,000,000","105,700,000","15,251,000","78,500,000","78,300,000","87,400,000","19,729,000","39,500,000","105,200,000","115,800,000","121,536,000","154,100,000","32,725,000","29,502,000","60,700,000","72,500,000","152,800,000","125,500,000","71,600,000"
				CashFinancial,"1,303,426,000","662,451,000","926,354,000","574,763,000","297,975,000","247,129,000","265,483,000","172,995,000","258,138,000","112,198,000","345,601,000","338,379,000","147,667,000","102,483,000",,"144,271,000","203,476,000","51,727,000","94,795,000","77,085,000",,"81,600,000","77,463,000","68,890,000","55,648,000","41,106,000","51,804,000","47,902,000","30,712,000","29,492,000","32,139,000","38,229,000",,"33,415,000","48,094,000","38,916,000",,"42,464,000",,,,,,,,,,,,,"22,071,000",,,"21,618,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"965,121,000","852,600,000","938,689,000","668,090,000","239,563,000","261,973,000","372,058,000","408,636,000","469,461,000","476,332,000","442,018,000","461,411,000","455,104,000","453,583,000",,"383,751,000","371,613,000","578,711,000","425,766,000","440,540,000",,"433,069,000","494,945,000","514,101,000","471,039,000","486,153,000","430,672,000","425,046,000","443,105,000","325,074,000","263,116,000","507,145,000",,"443,207,000","396,499,000","338,271,000",,"281,889,000",,,,,,,,,,,,,"270,742,000",,,"136,613,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"1,025,507,000","905,170,000","746,132,000","702,879,000","297,275,000","345,459,000","412,814,000","489,472,000","620,736,000","485,689,000","358,697,000","415,204,000","285,949,000","291,790,000","310,304,000","398,786,000","411,452,000","360,941,000","378,774,000","325,837,000","353,900,000","284,160,000","382,202,000","221,421,000","678,696,000","617,267,000","775,359,000","715,014,000","637,474,000","653,442,000","507,567,000","448,543,000","383,200,000","431,883,000","591,076,000","502,943,000","418,600,000","244,161,000","515,452,000","375,700,000","206,778,000","169,261,000","207,103,000","127,002,000","54,394,000","76,178,000","77,655,000","159,525,000","88,259,000",,"192,315,000",,,"165,689,000","134,480,000","61,018,000","140,634,000",,"74,733,000","101,108,000","118,229,000",,"61,904,000","58,933,000","109,326,000","132,303,000","57,457,000","54,021,000","137,500,000",,,,,"51,832,000",,,,"44,318,000",,,,"14,150,000",,"14,890,000","15,346,000",,,,,
		Receivables,,,,,,"584,838,000","547,288,000","492,719,000","525,897,000","571,639,000","558,524,000","572,448,000","576,197,000","593,137,000","558,750,000","558,044,000","526,586,000","543,695,000","512,477,000","483,420,000","480,800,000","516,577,000","487,859,000","447,928,000","453,817,000","492,544,000","521,068,000","505,979,000","502,068,000","543,436,000","532,937,000","523,010,000","559,200,000","533,472,000","608,462,000","666,666,000","713,600,000","649,384,000","646,790,000","598,100,000","609,115,000","533,966,000","575,729,000","497,170,000","446,192,000","444,890,000","470,867,000","420,688,000","452,580,000","463,382,000","489,776,000","386,600,000","407,300,000","422,892,000","514,896,000","420,647,000","395,245,000","323,057,000","374,680,000","305,237,000","286,592,000","280,733,000","314,847,000","261,108,000","232,406,000","222,032,000","233,551,000","207,272,000","200,423,000","204,212,000","198,000,000","177,600,000","167,700,000","183,012,000","184,400,000","154,600,000","148,100,000","152,521,000","149,500,000","142,300,000","152,300,000","164,510,000",,"202,423,000","233,035,000","184,000,000","179,200,000","146,500,000","145,100,000","126,300,000"
			AccountsReceivable,"916,817,000","590,312,000","440,331,000","401,144,000","398,844,000","313,265,000","314,349,000","284,277,000","315,453,000","367,583,000","381,106,000","402,222,000","451,783,000","473,704,000","462,339,000","471,676,000","434,066,000","471,453,000","415,492,000","381,441,000","480,800,000","427,098,000","413,433,000","373,581,000","373,632,000","379,497,000","445,666,000","432,017,000","426,665,000","456,737,000","491,199,000","488,433,000","559,200,000","442,177,000","556,109,000","628,234,000","713,600,000","608,934,000","637,883,000","598,100,000","593,183,000","529,201,000","559,249,000","477,748,000","397,911,000","412,117,000","430,840,000","420,688,000","365,104,000","394,479,000","425,608,000","386,600,000","407,300,000","385,811,000","338,798,000","357,835,000","348,212,000","224,444,000","346,932,000","284,681,000","252,550,000","247,903,000","289,113,000","209,424,000","232,406,000","155,836,000","173,524,000","196,362,000","190,735,000","195,869,000","198,000,000","177,600,000","167,700,000","175,539,000","184,400,000","154,600,000","148,100,000","138,909,000","149,500,000","142,300,000","152,300,000","155,488,000",,"202,423,000",,,,,,
				GrossAccountsReceivable,"931,462,000","600,664,000","440,331,000","414,502,000","505,500,000","313,265,000","314,349,000","284,277,000","315,453,000","367,583,000","381,106,000","402,222,000","451,783,000","473,704,000","462,339,000","471,676,000","434,066,000","471,453,000","415,492,000","381,441,000","480,800,000","427,098,000","413,433,000","373,581,000","373,632,000","394,432,000","445,666,000","432,017,000","426,665,000","456,737,000","491,199,000","488,433,000","559,200,000","442,177,000","556,109,000","628,234,000","713,600,000","608,934,000",,,"610,374,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
